id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
937917144482762419,Hudson 3 ADA at The Argus Hotel,526358730,Argus,,TENTH WARD,42.659082586070085,-73.77455698333637,Private room,184,1,4,2023-10-24,0.31,12,223,2,
937927979762952955,Hudson 4 at The Argus Hotel,526358730,Argus,,TENTH WARD,42.66043,-73.77432,Private room,184,1,0,,,12,201,0,
937935210290408974,Hudson 5 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65846944486231,-73.77272373106814,Private room,184,1,3,2024-07-07,0.28,12,198,3,
937943638262956751,Whalen Suite at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65908020134226,-73.77325860057209,Private room,271,1,1,2023-12-27,0.12,12,198,1,
937959604296602771,Whalen Deluxe at The Argus Hotel,526358730,Argus,,TENTH WARD,42.66003431746541,-73.77320091698593,Private room,,1,0,,,12,206,0,
937966967490420635,Whalen 3 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.658565440198664,-73.77439829468118,Private room,,1,0,,,12,216,0,
938260134617291567,Whalen 4 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.658926587547136,-73.77448006832087,Private room,,1,0,,,12,214,0,
938266199766701429,Knickerbocker 1 The Argus Hotel,526358730,Argus,,TENTH WARD,42.660367202946986,-73.77326955672677,Private room,,1,0,,,12,215,0,
938271786418327576,Knickerbocker 3 The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65868261789235,-73.77332643473149,Private room,,1,0,,,12,252,0,
938280419686165005,Carriage House The Argus Hotel,526358730,Argus,,TENTH WARD,42.660362531234114,-73.77290224418863,Entire home/apt,364,1,11,2024-08-18,0.84,12,181,9,
938421117122010799,"The backroom with TV, Queen bed and extra futon",116935236,Fs,,ELEVENTH WARD,42.6708367,-73.7853116,Private room,55,2,22,2024-08-17,1.62,4,262,18,
938431811499141903,The little room with TV and twin bed,116935236,Fs,,THIRTEENTH WARD,42.669735657513975,-73.78610658197474,Private room,40,2,23,2024-09-02,1.68,4,300,22,
938475906652462790,Colorful and eclectic apartment,132766782,Kelly,,TWELFTH WARD,42.673982043290124,-73.7912638431355,Entire home/apt,125,3,5,2024-08-20,1.08,1,268,5,
942750363293463100,The spacious room w/ dresser/desk,116935236,Fs,,ELEVENTH WARD,42.67033901962889,-73.78509801171585,Private room,55,2,12,2024-08-25,1.53,4,267,12,
950211425725610511,"Historic, Spacious Mansion Suite",1717342,David,,SIXTH WARD,42.6541815,-73.76086049999999,Entire home/apt,126,1,110,2024-09-02,8.59,2,234,106,
950613505102507073,A beautiful cozy home,529844022,Shirin,,FIRST WARD,42.63855425549474,-73.76927029173929,Entire home/apt,,1,0,,,1,0,0,
956423465030072969,Comfy 1-Br Near Washington Park,491607190,Abba,,TENTH WARD,42.66000843071908,-73.77397295619353,Entire home/apt,,1,17,2024-05-13,1.33,2,0,13,
957914480227791276,"2 bedroom+home office, private parking & backyard",217254883,Ermenita,,NINTH WARD,42.6549886,-73.79390939999999,Entire home/apt,140,1,79,2024-09-02,6.17,1,308,76,
958199983873241221,Oasis Garden Apt w/Queen Bed,172539578,David Yisrael,,FIFTEENTH WARD,42.678962799458816,-73.81724461913109,Entire home/apt,141,4,11,2024-08-22,1.15,2,158,11,
963920695464462572,Comfy studio in heart of Albany,189586864,Justin,,SIXTH WARD,42.65240863051438,-73.77002141071337,Entire home/apt,89,1,54,2024-09-02,4.33,1,351,51,
966287799980701967,"Modern 2-bed Apt / Hospitals, SUNY, State Office",374765317,Tanjin,,FIFTEENTH WARD,42.67059398561849,-73.81678288145305,Entire home/apt,99,3,10,2024-08-10,0.86,1,153,10,
